"id";"address";"exchanged"
33;"128.3.48.239";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 278}"
34;"131.243.143.231";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 187}"
35;"128.3.194.88";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 161}"
36;"128.3.161.182";"{""Volume"": 384, ""Protocole"": {""Autre"": {""Nombrein"": 3, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 192}}, ""id"": 167}"
37;"131.243.13.111";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 768, ""Nombreout"": 12, ""Volumein"": 0}}, ""id"": 296}"
38;"131.243.142.214";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 1, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 64}}, ""id"": 94}"
39;"131.243.146.84";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 4, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 256}}, ""id"": 313}"
40;"131.243.124.10";"{""Volume"": 640, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 640, ""Nombreout"": 10, ""Volumein"": 0}}, ""id"": 237}"
41;"131.243.155.78";"{""Volume"": 12992, ""Protocole"": {""Autre"": {""Nombrein"": 117, ""Volumeout"": 5440, ""Nombreout"": 85, ""Volumein"": 7488}, ""ICMP"": {""Nombrein"": 0, ""Volumeout"": 64, ""Nombreout"": 1, ""Volumein"": 0}}, ""id"": 43}"
42;"131.243.170.227";"{""Volume"": 1152, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 1152, ""Nombreout"": 18, ""Volumein"": 0}}, ""id"": 97}"
43;"131.243.103.13";"{""Volume"": 11776, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 11776, ""Nombreout"": 184, ""Volumein"": 0}}, ""id"": 2}"
44;"131.243.142.173";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 159}"
45;"131.243.89.237";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 246}"
46;"131.243.145.237";"{""Volume"": 1024, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 1024, ""Nombreout"": 16, ""Volumein"": 0}}, ""id"": 132}"
47;"128.3.208.160";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 284}"
48;"131.243.147.67";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 120}"
49;"131.243.102.82";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 61}"
50;"131.243.86.232";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 78}"
51;"128.3.112.205";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 233}"
