"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1;"131.243.63.143";"239.255.255.253";63514;427;"UDP"
2;"131.243.155.35";"170.138.112.37";1667;993;"TCP"
3;"131.243.146.115";"239.255.255.253";51340;427;"UDP"
4;"170.138.112.37";"131.243.155.35";993;1667;"TCP"
5;"128.3.189.127";"239.255.255.253";51796;427;"UDP"
6;"131.243.141.160";"224.0.1.22";1026;427;"UDP"
7;"131.243.106.61";"239.255.255.253";49174;427;"UDP"
8;"131.243.127.47";"239.255.255.253";49169;427;"UDP"
9;"131.243.61.70";"239.255.255.253";51594;427;"UDP"
10;"128.3.161.46";"131.243.155.240";2145;161;"UDP"
11;"131.243.155.113";"131.243.155.255";138;138;"UDP"
12;"131.243.234.187";"239.255.255.253";56972;427;"UDP"
13;"128.3.209.107";"239.255.255.253";51068;427;"UDP"
14;"128.3.96.230";"131.243.155.152";3542;161;"UDP"
15;"131.243.155.152";"128.3.96.230";161;2732;"UDP"
16;"131.243.94.195";"239.255.255.253";64302;427;"UDP"
17;"131.243.103.13";"239.255.255.253";54147;427;"UDP"
18;"131.243.155.227";"128.3.161.22";515;995;"TCP"
19;"128.3.161.46";"131.243.155.240";2138;161;"UDP"
20;"131.243.155.227";"128.3.161.22";515;999;"TCP"
21;"131.243.103.13";"239.255.255.253";54227;427;"UDP"
22;"131.243.103.13";"239.255.255.253";54141;427;"UDP"
23;"131.243.94.204";"239.255.255.253";50511;427;"UDP"
24;"131.243.61.187";"239.255.255.253";60943;427;"UDP"
25;"131.243.144.172";"131.243.155.227";1205;161;"UDP"
26;"131.243.103.13";"239.255.255.253";54152;427;"UDP"
27;"131.243.94.195";"239.255.255.253";64322;427;"UDP"
28;"131.243.61.70";"239.255.255.253";51597;427;"UDP"
29;"128.3.209.201";"239.255.255.253";51027;427;"UDP"
30;"128.3.112.36";"239.255.255.253";53425;427;"UDP"
31;"128.3.161.230";"131.243.155.113";524;1038;"TCP"
32;"131.243.94.195";"239.255.255.253";64268;427;"UDP"
33;"131.243.61.187";"239.255.255.253";61015;427;"UDP"
34;"131.243.155.35";"59.223.55.73";1691;80;"TCP"
35;"131.243.219.153";"224.0.1.22";1025;427;"UDP"
36;"131.243.94.195";"239.255.255.253";64303;427;"UDP"
37;"131.243.88.202";"239.255.255.253";49572;427;"UDP"
38;"131.243.94.204";"239.255.255.253";50464;427;"UDP"
39;"131.243.155.35";"208.201.173.240";1673;80;"TCP"
40;"131.243.61.187";"239.255.255.253";60960;427;"UDP"
41;"131.243.155.174";"128.3.164.194";1082;993;"TCP"
42;"131.243.94.204";"239.255.255.253";50484;427;"UDP"
43;"131.243.103.13";"239.255.255.253";54155;427;"UDP"
44;"59.223.13.123";"131.243.155.35";80;1695;"TCP"
45;"131.243.155.125";"128.3.161.182";138;138;"UDP"
46;"131.243.155.174";"131.243.140.105";1038;524;"TCP"
47;"131.243.219.216";"131.243.155.113";137;137;"UDP"
48;"131.243.107.4";"239.255.255.253";49194;427;"UDP"
49;"131.243.144.171";"239.255.255.253";54063;427;"UDP"
