"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
50;"131.243.155.21";"131.243.94.204";427;50482;"UDP"
51;"128.3.161.46";"131.243.155.227";2080;161;"UDP"
52;"128.3.188.198";"239.255.255.253";49655;427;"UDP"
53;"128.3.161.46";"131.243.155.240";2126;161;"UDP"
54;"128.3.161.182";"131.243.155.125";138;138;"UDP"
55;"131.243.155.178";"131.243.141.187";2809;524;"TCP"
56;"131.243.100.120";"239.255.255.253";61416;427;"UDP"
57;"128.3.164.15";"131.243.155.113";993;1510;"TCP"
58;"128.3.161.46";"131.243.155.227";2087;161;"UDP"
59;"131.243.155.37";"128.3.208.31";3572;445;"TCP"
60;"131.243.89.138";"239.255.255.253";49537;427;"UDP"
61;"128.3.161.46";"131.243.155.240";2141;161;"UDP"
62;"131.243.94.195";"239.255.255.253";64280;427;"UDP"
63;"128.3.208.188";"239.255.255.253";52664;427;"UDP"
64;"131.243.155.113";"128.3.161.46";1711;3396;"TCP"
65;"128.3.208.18";"224.0.1.22";1027;427;"UDP"
66;"131.243.61.70";"239.255.255.253";51616;427;"UDP"
67;"131.243.103.13";"239.255.255.253";54140;427;"UDP"
68;"131.243.61.187";"239.255.255.253";60938;427;"UDP"
69;"128.3.208.24";"239.255.255.253";49342;427;"UDP"
70;"131.243.155.83";"128.3.161.98";1039;524;"TCP"
71;"128.3.242.56";"239.255.255.253";63284;427;"UDP"
72;"131.243.63.143";"239.255.255.253";63497;427;"UDP"
73;"128.3.112.36";"239.255.255.253";53421;427;"UDP"
74;"131.243.103.13";"239.255.255.253";54185;427;"UDP"
75;"128.3.161.22";"131.243.155.227";930;515;"TCP"
76;"131.243.155.78";"128.3.188.31";139;4191;"TCP"
77;"131.243.95.248";"224.0.1.60";427;427;"UDP"
78;"131.243.124.10";"239.255.255.253";50388;427;"UDP"
79;"131.243.103.106";"239.255.255.253";55990;427;"UDP"
80;"128.3.161.46";"131.243.155.113";3396;1711;"TCP"
81;"128.3.161.98";"131.243.155.33";524;1035;"TCP"
82;"131.243.89.80";"239.255.255.253";64297;427;"UDP"
83;"131.243.155.174";"131.243.155.255";138;138;"UDP"
84;"59.223.4.149";"131.243.155.35";80;1697;"TCP"
85;"131.243.155.21";"131.243.94.204";427;50465;"UDP"
86;"131.243.155.21";"131.243.94.204";427;50467;"UDP"
87;"131.243.155.21";"131.243.94.204";427;50463;"UDP"
88;"128.3.193.56";"239.255.255.253";49988;427;"UDP"
89;"198.129.88.104";"239.255.255.250";1900;1900;"UDP"
90;"131.243.62.209";"131.243.155.227";1277;161;"UDP"
91;"128.3.161.46";"131.243.155.113";3396;1710;"TCP"
92;"131.243.94.204";"239.255.255.253";50509;427;"UDP"
93;"131.243.144.23";"239.255.255.253";51900;427;"UDP"
94;"131.243.61.187";"239.255.255.253";60935;427;"UDP"
95;"131.243.155.83";"128.55.157.218";138;138;"UDP"
96;"131.243.155.78";"128.3.161.223";3478;139;"TCP"
97;"131.243.14.250";"239.255.255.253";58394;427;"UDP"
98;"131.243.155.227";"128.3.161.252";161;1031;"UDP"
99;"131.243.155.20";"128.3.161.46";515;938;"TCP"
100;"131.243.155.20";"128.3.161.46";515;939;"TCP"
101;"128.3.242.52";"239.255.255.253";62056;427;"UDP"
102;"218.131.115.51";"131.243.155.250";80;1084;"TCP"
103;"131.243.94.195";"239.255.255.253";64286;427;"UDP"
104;"131.243.61.187";"239.255.255.253";61014;427;"UDP"
105;"131.243.61.70";"239.255.255.253";51624;427;"UDP"
106;"128.3.161.46";"131.243.155.113";3396;1706;"TCP"
107;"128.3.161.46";"131.243.155.113";3396;1707;"TCP"
108;"128.3.161.46";"131.243.155.113";3396;1704;"TCP"
109;"128.3.161.46";"131.243.155.113";3396;1705;"TCP"
110;"128.3.161.46";"131.243.155.113";3396;1702;"TCP"
111;"128.3.161.46";"131.243.155.113";3396;1703;"TCP"
112;"128.3.161.46";"131.243.155.113";3396;1700;"TCP"
113;"128.3.161.46";"131.243.155.113";3396;1701;"TCP"
114;"131.243.61.187";"239.255.255.253";60977;427;"UDP"
115;"131.243.155.125";"128.55.157.218";138;138;"UDP"
116;"131.243.61.187";"239.255.255.253";61041;427;"UDP"
117;"131.243.94.126";"239.255.255.253";49164;427;"UDP"
118;"128.3.161.46";"131.243.155.227";2083;161;"UDP"
119;"131.243.155.35";"59.223.4.149";1685;80;"TCP"
120;"131.243.61.187";"239.255.255.253";60973;427;"UDP"
121;"131.243.146.84";"239.255.255.253";50004;427;"UDP"
122;"131.243.100.120";"239.255.255.253";61414;427;"UDP"
123;"128.3.161.22";"131.243.155.227";924;515;"TCP"
124;"128.3.161.197";"131.243.155.178";445;3520;"TCP"
125;"128.3.48.239";"224.0.1.22";1033;427;"UDP"
126;"131.243.103.13";"239.255.255.253";54230;427;"UDP"
127;"128.3.194.200";"239.255.255.253";57304;427;"UDP"
128;"131.243.103.106";"239.255.255.253";55991;427;"UDP"
129;"128.3.188.198";"239.255.255.253";49654;427;"UDP"
130;"131.243.155.113";"128.3.161.46";1702;3396;"TCP"
131;"128.3.39.162";"239.255.255.253";60443;427;"UDP"
132;"131.243.147.72";"239.255.255.253";49827;427;"UDP"
133;"131.243.61.70";"239.255.255.253";51596;427;"UDP"
134;"131.243.94.195";"239.255.255.253";64281;427;"UDP"
135;"131.243.155.152";"128.3.96.230";161;1990;"UDP"
136;"131.243.91.224";"239.255.255.253";52503;427;"UDP"
137;"128.3.161.46";"131.243.155.240";2146;161;"UDP"
138;"131.243.141.85";"224.0.1.22";1028;427;"UDP"
139;"131.243.103.13";"239.255.255.253";54172;427;"UDP"
140;"128.3.210.36";"239.255.255.253";51010;427;"UDP"
141;"131.243.94.195";"239.255.255.253";64296;427;"UDP"
142;"131.243.155.174";"128.3.161.98";1040;524;"TCP"
143;"131.243.61.187";"239.255.255.253";60974;427;"UDP"
144;"131.243.140.213";"224.0.1.22";1040;427;"UDP"
145;"131.243.103.106";"239.255.255.253";55988;427;"UDP"
146;"131.243.155.146";"131.243.155.255";138;138;"UDP"
147;"131.243.155.227";"128.3.161.252";515;896;"TCP"
148;"128.3.191.173";"239.255.255.253";55294;427;"UDP"
149;"131.243.155.21";"131.243.63.39";427;58885;"UDP"
150;"131.243.155.250";"208.189.202.205";1102;80;"TCP"
151;"131.243.155.227";"131.243.144.172";161;1209;"UDP"
152;"131.243.155.227";"131.243.144.172";161;1208;"UDP"
153;"128.3.112.36";"239.255.255.253";53420;427;"UDP"
154;"131.243.155.227";"131.243.144.172";161;1205;"UDP"
155;"131.243.105.45";"239.255.255.253";49232;427;"UDP"
156;"131.243.155.227";"131.243.144.172";161;1207;"UDP"
157;"131.243.155.35";"208.201.173.240";1671;80;"TCP"
158;"131.243.93.124";"239.255.255.253";52721;427;"UDP"
159;"131.243.155.227";"131.243.144.172";161;1202;"UDP"
160;"128.3.39.69";"239.255.255.253";50584;427;"UDP"
161;"128.3.161.46";"131.243.155.227";2067;161;"UDP"
162;"128.3.112.63";"239.255.255.253";54082;427;"UDP"
163;"128.3.210.128";"239.255.255.253";49184;427;"UDP"
164;"128.3.5.67";"239.255.255.253";49559;427;"UDP"
165;"131.243.155.240";"128.3.161.46";161;2145;"UDP"
166;"131.243.155.240";"128.3.161.46";161;2146;"UDP"
167;"131.243.155.240";"128.3.161.46";161;2140;"UDP"
168;"131.243.155.240";"128.3.161.46";161;2141;"UDP"
169;"131.243.155.240";"128.3.161.46";161;2142;"UDP"
170;"131.243.155.240";"128.3.161.46";161;2143;"UDP"
171;"131.243.103.13";"239.255.255.253";54168;427;"UDP"
172;"131.243.92.161";"239.255.255.253";51047;427;"UDP"
173;"131.243.62.209";"131.243.155.227";1278;161;"UDP"
174;"131.243.103.106";"239.255.255.253";55974;427;"UDP"
175;"128.3.4.44";"239.255.255.253";49172;427;"UDP"
176;"128.3.208.24";"239.255.255.253";49374;427;"UDP"
177;"131.243.155.250";"128.3.161.46";1096;3396;"TCP"
178;"131.243.94.195";"239.255.255.253";64307;427;"UDP"
179;"128.3.161.46";"131.243.155.20";940;515;"TCP"
180;"131.243.63.143";"239.255.255.253";63486;427;"UDP"
181;"128.3.242.56";"239.255.255.253";63283;427;"UDP"
182;"131.243.155.35";"59.223.8.114";1693;80;"TCP"
183;"131.243.155.178";"128.3.161.197";139;2440;"TCP"
184;"131.243.91.100";"239.255.255.253";53492;427;"UDP"
185;"128.3.39.69";"239.255.255.253";50585;427;"UDP"
186;"128.3.161.46";"131.243.155.227";2062;161;"UDP"
187;"131.243.105.45";"239.255.255.253";49233;427;"UDP"
188;"131.243.155.250";"218.131.115.53";1100;80;"TCP"
189;"131.243.94.195";"239.255.255.253";64320;427;"UDP"
190;"131.243.94.195";"239.255.255.253";64284;427;"UDP"
191;"131.243.146.16";"239.255.255.253";53197;427;"UDP"
192;"131.243.155.83";"131.243.219.216";137;137;"UDP"
193;"131.243.101.105";"239.255.255.253";63822;427;"UDP"
194;"131.243.155.35";"59.223.8.114";1687;80;"TCP"
195;"131.243.103.13";"239.255.255.253";54129;427;"UDP"
196;"131.243.106.81";"239.255.255.253";49441;427;"UDP"
197;"131.243.90.129";"239.255.255.253";58563;427;"UDP"
198;"131.243.170.163";"239.255.255.253";49171;427;"UDP"
199;"131.243.88.135";"239.255.255.253";49183;427;"UDP"
200;"131.243.61.187";"239.255.255.253";60980;427;"UDP"
201;"131.243.219.42";"239.255.255.253";49780;427;"UDP"
202;"131.243.155.250";"193.116.32.109";1099;80;"TCP"
203;"131.243.61.70";"239.255.255.253";51592;427;"UDP"
204;"131.243.155.227";"128.3.161.22";515;986;"TCP"
205;"131.243.155.35";"208.201.173.240";1681;80;"TCP"
206;"131.243.61.187";"239.255.255.253";60948;427;"UDP"
207;"131.243.61.187";"239.255.255.253";61044;427;"UDP"
208;"128.3.211.7";"239.255.255.253";50009;427;"UDP"
209;"131.243.61.70";"239.255.255.253";51636;427;"UDP"
210;"128.3.63.83";"239.255.255.253";49337;427;"UDP"
211;"131.243.155.227";"128.3.161.22";515;930;"TCP"
212;"128.3.161.46";"131.243.155.240";2129;161;"UDP"
213;"128.3.97.204";"131.243.155.37";123;123;"UDP"
214;"128.3.208.188";"239.255.255.253";52695;427;"UDP"
215;"131.243.15.92";"239.255.255.253";49557;427;"UDP"
216;"131.243.106.81";"239.255.255.253";49442;427;"UDP"
217;"128.3.112.162";"239.255.255.253";58882;427;"UDP"
218;"131.243.61.187";"239.255.255.253";60970;427;"UDP"
219;"128.3.6.162";"239.255.255.253";51774;427;"UDP"
220;"131.243.62.209";"131.243.155.227";1271;161;"UDP"
221;"131.243.61.70";"239.255.255.253";51589;427;"UDP"
222;"131.243.15.9";"239.255.255.253";49816;427;"UDP"
223;"131.243.141.204";"224.0.1.22";1036;427;"UDP"
224;"131.243.63.143";"239.255.255.253";63559;427;"UDP"
225;"131.243.100.155";"224.0.1.22";1025;427;"UDP"
226;"131.243.155.35";"208.201.173.240";1679;80;"TCP"
227;"128.3.161.46";"131.243.155.240";2136;161;"UDP"
228;"131.243.142.214";"239.255.255.253";427;427;"UDP"
229;"131.243.232.211";"239.255.255.253";56456;427;"UDP"
230;"131.243.94.195";"239.255.255.253";64273;427;"UDP"
231;"131.243.155.83";"131.243.140.105";1043;524;"TCP"
232;"128.3.210.223";"131.243.155.83";138;138;"UDP"
233;"131.243.103.106";"239.255.255.253";55979;427;"UDP"
234;"128.3.191.81";"239.255.255.253";56890;427;"UDP"
235;"131.243.94.195";"239.255.255.253";64279;427;"UDP"
236;"131.243.155.78";"128.3.161.223";3477;139;"TCP"
237;"131.243.141.187";"224.0.1.22";427;427;"UDP"
238;"128.3.191.103";"239.255.255.253";49438;427;"UDP"
239;"131.243.103.106";"239.255.255.253";55981;427;"UDP"
240;"128.3.209.68";"239.255.255.253";50449;427;"UDP"
241;"128.3.6.162";"239.255.255.253";51776;427;"UDP"
242;"131.243.144.223";"239.255.255.253";54694;427;"UDP"
243;"131.243.155.21";"131.243.94.204";427;50494;"UDP"
244;"128.3.208.188";"239.255.255.253";52697;427;"UDP"
245;"131.243.155.35";"170.138.112.62";113;63893;"TCP"
246;"128.3.209.222";"239.255.255.253";49207;427;"UDP"
247;"131.243.61.187";"239.255.255.253";60934;427;"UDP"
248;"131.243.61.187";"239.255.255.253";60941;427;"UDP"
249;"131.243.155.113";"128.3.161.98";1043;524;"TCP"
250;"131.243.61.70";"239.255.255.253";51609;427;"UDP"
251;"131.243.155.113";"128.3.161.46";1718;3396;"TCP"
252;"131.243.61.187";"239.255.255.253";60988;427;"UDP"
253;"128.3.242.52";"239.255.255.253";62054;427;"UDP"
254;"208.201.173.240";"131.243.155.35";80;1682;"TCP"
255;"208.201.173.240";"131.243.155.35";80;1681;"TCP"
256;"208.201.173.240";"131.243.155.35";80;1680;"TCP"
257;"131.243.61.70";"239.255.255.253";51610;427;"UDP"
258;"213.221.231.81";"131.243.155.152";4096;1027;"UDP"
259;"128.3.161.46";"131.243.155.240";2128;161;"UDP"
260;"131.243.60.244";"239.255.255.253";63252;427;"UDP"
261;"128.3.161.74";"131.243.155.250";524;1026;"TCP"
262;"131.243.155.178";"131.243.155.255";138;138;"UDP"
263;"128.3.211.215";"239.255.255.253";55668;427;"UDP"
264;"204.116.36.227";"131.243.155.125";80;4840;"TCP"
265;"131.243.146.180";"239.255.255.253";54528;427;"UDP"
266;"198.129.91.44";"239.255.255.253";49154;427;"UDP"
267;"131.243.61.70";"239.255.255.253";51590;427;"UDP"
268;"131.243.94.195";"239.255.255.253";64325;427;"UDP"
269;"131.243.63.143";"239.255.255.253";63481;427;"UDP"
270;"131.243.155.21";"131.243.94.204";427;50472;"UDP"
271;"131.243.147.43";"239.255.255.253";49178;427;"UDP"
272;"131.243.170.99";"239.255.255.253";59132;427;"UDP"
273;"131.243.155.37";"131.243.155.255";138;138;"UDP"
274;"128.3.191.81";"239.255.255.253";56892;427;"UDP"
275;"131.243.10.34";"239.255.255.253";53317;427;"UDP"
276;"131.243.61.187";"239.255.255.253";60981;427;"UDP"
277;"131.243.155.83";"131.243.141.187";1045;524;"TCP"
278;"131.243.155.35";"207.235.214.252";1696;80;"TCP"
279;"131.243.103.13";"239.255.255.253";54191;427;"UDP"
280;"131.243.143.136";"224.0.1.22";1038;427;"UDP"
281;"131.243.94.204";"239.255.255.253";50480;427;"UDP"
282;"131.243.63.39";"239.255.255.253";58882;427;"UDP"
283;"131.243.91.224";"239.255.255.253";52504;427;"UDP"
284;"131.243.141.244";"224.0.1.22";1058;427;"UDP"
285;"131.243.103.106";"239.255.255.253";55989;427;"UDP"
286;"208.189.202.205";"131.243.155.250";80;1098;"TCP"
287;"131.243.155.113";"128.3.161.46";1717;3396;"TCP"
288;"208.189.202.205";"131.243.155.250";80;1097;"TCP"
289;"131.243.143.142";"239.255.255.253";427;427;"UDP"
290;"131.243.62.209";"131.243.155.227";1279;161;"UDP"
291;"128.3.161.46";"131.243.155.113";3396;1713;"TCP"
292;"128.3.161.46";"131.243.155.113";3396;1712;"TCP"
293;"128.3.161.46";"131.243.155.113";3396;1715;"TCP"
294;"128.3.194.247";"239.255.255.253";49200;427;"UDP"
295;"128.3.161.46";"131.243.155.113";3396;1717;"TCP"
296;"128.3.161.46";"131.243.155.113";3396;1716;"TCP"
297;"128.3.37.175";"239.255.255.253";50851;427;"UDP"
298;"131.243.155.240";"128.3.161.46";161;2139;"UDP"
299;"128.3.191.53";"239.255.255.253";63078;427;"UDP"
300;"131.243.155.227";"128.3.161.46";161;2080;"UDP"
301;"131.243.155.227";"128.3.161.46";161;2081;"UDP"
302;"131.243.155.227";"128.3.161.46";161;2082;"UDP"
303;"131.243.155.227";"128.3.161.46";161;2083;"UDP"
304;"131.243.155.227";"128.3.161.46";161;2084;"UDP"
305;"131.243.155.227";"128.3.161.46";161;2085;"UDP"
306;"131.243.155.227";"128.3.161.46";161;2086;"UDP"
307;"131.243.155.227";"128.3.161.46";161;2087;"UDP"
308;"131.243.155.227";"128.3.161.46";161;2088;"UDP"
309;"128.3.161.46";"131.243.155.20";944;515;"TCP"
310;"131.243.94.195";"239.255.255.253";64267;427;"UDP"
311;"131.243.144.172";"131.243.155.227";1204;161;"UDP"
312;"131.243.103.181";"239.255.255.253";50658;427;"UDP"
313;"131.243.61.70";"239.255.255.253";51638;427;"UDP"
314;"128.3.161.197";"131.243.155.178";2440;139;"TCP"
315;"131.243.155.21";"131.243.94.204";427;50487;"UDP"
316;"131.243.155.227";"128.3.161.252";515;817;"TCP"
317;"131.243.144.172";"131.243.155.227";1206;161;"UDP"
318;"131.243.63.143";"239.255.255.253";63494;427;"UDP"
319;"131.243.13.111";"239.255.255.253";50619;427;"UDP"
320;"128.3.39.69";"239.255.255.253";50540;427;"UDP"
321;"128.3.191.130";"239.255.255.253";59487;427;"UDP"
322;"131.243.61.187";"239.255.255.253";60993;427;"UDP"
323;"131.243.155.113";"128.3.161.46";1708;3396;"TCP"
324;"131.243.107.131";"239.255.255.253";49475;427;"UDP"
325;"131.243.144.105";"239.255.255.253";57065;427;"UDP"
326;"128.3.112.223";"239.255.255.253";56615;427;"UDP"
327;"131.243.145.135";"239.255.255.253";58808;427;"UDP"
328;"131.243.61.187";"239.255.255.253";60978;427;"UDP"
329;"128.3.161.252";"131.243.155.227";896;515;"TCP"
330;"128.3.7.36";"239.255.255.253";49168;427;"UDP"
331;"131.243.102.82";"239.255.255.253";62157;427;"UDP"
332;"131.243.141.79";"224.0.1.22";1053;427;"UDP"
333;"131.243.144.105";"239.255.255.253";57066;427;"UDP"
334;"131.243.91.224";"239.255.255.253";52501;427;"UDP"
335;"131.243.103.13";"239.255.255.253";54188;427;"UDP"
336;"131.243.101.100";"239.255.255.253";49200;427;"UDP"
337;"131.243.146.115";"239.255.255.253";51339;427;"UDP"
338;"131.243.155.35";"170.138.112.37";1665;993;"TCP"
339;"131.243.155.125";"204.116.20.80";4838;80;"TCP"
340;"128.3.96.230";"131.243.155.152";4438;161;"UDP"
341;"128.3.161.46";"131.243.155.227";2082;161;"UDP"
342;"128.3.242.93";"239.255.255.253";65002;427;"UDP"
343;"131.243.15.9";"239.255.255.253";49817;427;"UDP"
344;"128.3.37.175";"239.255.255.253";50852;427;"UDP"
345;"131.243.155.21";"131.243.146.180";427;54533;"UDP"
346;"131.243.103.13";"239.255.255.253";54175;427;"UDP"
347;"131.243.60.244";"239.255.255.253";63253;427;"UDP"
348;"131.243.143.142";"224.0.1.22";427;427;"UDP"
349;"128.3.112.36";"239.255.255.253";53424;427;"UDP"
350;"128.3.161.46";"131.243.155.20";938;515;"TCP"
351;"131.243.155.113";"128.3.161.46";1712;3396;"TCP"
352;"131.243.219.42";"239.255.255.253";49781;427;"UDP"
353;"193.116.32.109";"131.243.155.250";80;1099;"TCP"
354;"131.243.91.224";"239.255.255.253";52500;427;"UDP"
355;"131.243.88.34";"239.255.255.253";64842;427;"UDP"
356;"131.243.61.70";"239.255.255.253";51587;427;"UDP"
357;"131.243.155.125";"128.3.210.223";138;138;"UDP"
358;"131.243.61.187";"239.255.255.253";60971;427;"UDP"
359;"131.243.155.250";"208.189.202.205";1098;80;"TCP"
360;"131.243.103.13";"239.255.255.253";54211;427;"UDP"
361;"131.243.155.227";"128.3.161.46";161;2067;"UDP"
362;"131.243.155.227";"128.3.161.252";515;776;"TCP"
363;"128.3.208.188";"239.255.255.253";52699;427;"UDP"
364;"131.243.203.214";"239.255.255.253";52910;427;"UDP"
365;"131.243.155.227";"128.3.161.22";515;914;"TCP"
366;"128.3.255.139";"224.0.1.22";427;427;"UDP"
367;"131.243.61.187";"239.255.255.253";60944;427;"UDP"
368;"131.243.155.174";"128.3.161.62";2967;1056;"UDP"
369;"131.243.90.52";"239.255.255.253";52107;427;"UDP"
370;"131.243.143.70";"224.0.1.22";1049;427;"UDP"
371;"128.3.19.103";"224.0.1.22";1044;427;"UDP"
372;"131.243.155.35";"59.223.8.114";1701;80;"TCP"
373;"131.243.100.12";"239.255.255.253";58789;427;"UDP"
374;"131.243.62.209";"131.243.155.227";1275;161;"UDP"
375;"128.3.161.252";"131.243.155.227";995;515;"TCP"
376;"128.3.161.223";"131.243.155.83";138;138;"UDP"
377;"131.243.93.106";"239.255.255.253";63526;427;"UDP"
378;"131.243.155.250";"218.131.115.53";1041;80;"TCP"
379;"131.243.61.187";"239.255.255.253";61000;427;"UDP"
380;"131.243.94.195";"239.255.255.253";64312;427;"UDP"
381;"131.243.94.195";"239.255.255.253";64283;427;"UDP"
382;"131.243.155.33";"128.3.164.194";1147;993;"TCP"
383;"131.243.155.83";"131.243.142.214";2380;524;"TCP"
384;"128.3.183.76";"224.0.1.22";1043;427;"UDP"
385;"131.243.155.152";"128.3.96.230";161;2439;"UDP"
386;"131.243.144.23";"239.255.255.253";51895;427;"UDP"
387;"131.243.93.244";"239.255.255.253";49245;427;"UDP"
388;"128.3.112.228";"239.255.255.253";57225;427;"UDP"
389;"131.243.155.35";"59.223.55.73";1692;80;"TCP"
390;"131.243.61.70";"239.255.255.253";51632;427;"UDP"
391;"131.243.63.143";"239.255.255.253";63491;427;"UDP"
392;"131.243.63.143";"239.255.255.253";63527;427;"UDP"
393;"128.3.191.173";"239.255.255.253";55293;427;"UDP"
394;"131.243.155.227";"128.3.161.22";515;927;"TCP"
395;"131.243.155.227";"128.3.161.22";515;924;"TCP"
396;"131.243.89.16";"239.255.255.253";49938;427;"UDP"
397;"131.243.155.174";"131.243.102.75";1879;139;"TCP"
398;"128.3.161.223";"131.243.155.78";3109;139;"TCP"
399;"128.3.161.223";"131.243.155.78";138;138;"UDP"
400;"131.243.61.187";"239.255.255.253";60968;427;"UDP"
401;"128.3.255.34";"224.0.1.22";1026;427;"UDP"
402;"131.243.94.195";"239.255.255.253";64291;427;"UDP"
403;"131.243.14.90";"239.255.255.253";49612;427;"UDP"
404;"131.243.62.202";"239.255.255.253";54054;427;"UDP"
405;"131.243.155.83";"128.3.210.223";138;138;"UDP"
406;"128.3.112.228";"239.255.255.253";57224;427;"UDP"
407;"131.243.91.224";"239.255.255.253";52502;427;"UDP"
408;"131.243.155.146";"128.3.161.98";1039;524;"TCP"
409;"131.243.155.227";"128.3.161.22";515;760;"TCP"
410;"131.243.60.244";"239.255.255.253";63258;427;"UDP"
411;"131.243.155.33";"128.3.161.165";1026;524;"TCP"
412;"131.243.94.204";"239.255.255.253";50488;427;"UDP"
413;"131.243.155.250";"193.116.32.109";1101;80;"TCP"
414;"131.243.155.113";"128.3.161.46";1715;3396;"TCP"
415;"128.3.161.46";"131.243.155.20";942;515;"TCP"
416;"131.243.103.13";"239.255.255.253";54139;427;"UDP"
417;"204.116.20.141";"131.243.155.125";80;4836;"TCP"
418;"131.243.155.37";"128.3.97.204";123;123;"UDP"
419;"131.243.63.143";"239.255.255.253";63510;427;"UDP"
420;"131.243.208.213";"224.0.1.22";1039;427;"UDP"
421;"131.243.143.66";"224.0.1.22";427;427;"UDP"
422;"128.3.161.46";"131.243.155.240";2137;161;"UDP"
423;"131.243.155.227";"128.3.161.252";515;995;"TCP"
424;"128.3.161.46";"131.243.155.227";2074;161;"UDP"
425;"128.3.211.136";"239.255.255.253";51387;427;"UDP"
426;"128.3.39.162";"239.255.255.253";60444;427;"UDP"
427;"131.243.61.70";"239.255.255.253";51614;427;"UDP"
428;"131.243.60.244";"239.255.255.253";63256;427;"UDP"
429;"131.243.140.105";"224.0.1.22";427;427;"UDP"
430;"128.3.204.24";"239.255.255.253";51959;427;"UDP"
431;"131.243.155.227";"128.3.161.22";515;748;"TCP"
432;"131.243.90.129";"239.255.255.253";58560;427;"UDP"
433;"128.3.161.46";"131.243.155.240";2125;161;"UDP"
434;"131.243.63.143";"239.255.255.253";63555;427;"UDP"
435;"131.243.12.208";"239.255.255.253";49180;427;"UDP"
436;"131.243.155.21";"131.243.105.45";427;49233;"UDP"
437;"128.3.63.240";"239.255.255.253";53920;427;"UDP"
438;"128.3.161.46";"131.243.155.227";2076;161;"UDP"
439;"128.3.4.67";"239.255.255.253";49323;427;"UDP"
440;"131.243.103.13";"239.255.255.253";54232;427;"UDP"
441;"128.3.204.24";"239.255.255.253";51958;427;"UDP"
442;"128.3.161.230";"131.243.155.113";524;1037;"TCP"
443;"131.243.106.253";"239.255.255.253";50797;427;"UDP"
444;"128.3.112.205";"239.255.255.253";53237;427;"UDP"
445;"128.3.161.252";"131.243.155.227";817;515;"TCP"
446;"128.3.191.1";"239.255.255.253";57259;427;"UDP"
447;"128.3.161.98";"131.243.155.37";524;3016;"TCP"
448;"131.243.155.113";"128.3.161.230";1038;524;"TCP"
449;"128.3.188.31";"131.243.155.78";4203;2080;"TCP"
450;"131.243.124.10";"239.255.255.253";50389;427;"UDP"
