"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol";"data";"timestamp";"sessionId"
1;"131.243.63.143";"131.243.63.143";63514;427;"Autre";"{}";"2004-10-04 23:22:58";1
2;"131.243.63.143";"131.243.63.143";63514;427;"Autre";"{}";"2004-10-04 23:23:01";1
3;"131.243.63.143";"131.243.63.143";63514;427;"Autre";"{}";"2004-10-04 23:23:04";1
4;"131.243.63.143";"131.243.63.143";63514;427;"Autre";"{}";"2004-10-04 23:23:07";1
5;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
6;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
7;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
8;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
9;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
10;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
11;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
12;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
13;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
14;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
15;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
16;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
17;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
18;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
19;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
20;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
21;"131.243.155.35";"131.243.155.35";1667;993;"IMAPS";"{}";"2004-10-04 23:20:31";2
22;"131.243.146.115";"131.243.146.115";51340;427;"Autre";"{}";"2004-10-04 23:26:07";3
23;"131.243.146.115";"131.243.146.115";51340;427;"Autre";"{}";"2004-10-04 23:26:14";3
24;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
25;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
26;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
27;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
28;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
29;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
30;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
31;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
32;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
33;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
34;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
35;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
36;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
37;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
38;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
39;"170.138.112.37";"170.138.112.37";993;1667;"IMAPS";"{}";"2004-10-04 23:20:31";4
40;"128.3.189.127";"128.3.189.127";51796;427;"Autre";"{}";"2004-10-04 23:27:27";5
41;"128.3.189.127";"128.3.189.127";51796;427;"Autre";"{}";"2004-10-04 23:27:34";5
42;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:09";6
43;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:09";6
44;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:11";6
45;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:11";6
46;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:13";6
47;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:13";6
48;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:14";6
49;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:14";6
50;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:15";6
51;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:15";6
52;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:17";6
53;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:17";6
54;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:21";6
55;"131.243.141.160";"131.243.141.160";1026;427;"Autre";"{}";"2004-10-04 23:26:21";6
56;"131.243.106.61";"131.243.106.61";49174;427;"Autre";"{}";"2004-10-04 23:19:23";7
57;"131.243.106.61";"131.243.106.61";49174;427;"Autre";"{}";"2004-10-04 23:19:26";7
58;"131.243.106.61";"131.243.106.61";49174;427;"Autre";"{}";"2004-10-04 23:19:31";7
59;"131.243.106.61";"131.243.106.61";49174;427;"Autre";"{}";"2004-10-04 23:19:36";7
60;"131.243.106.61";"131.243.106.61";49174;427;"Autre";"{}";"2004-10-04 23:19:41";7
61;"131.243.127.47";"131.243.127.47";49169;427;"Autre";"{}";"2004-10-04 23:28:27";8
62;"131.243.61.70";"131.243.61.70";51594;427;"Autre";"{}";"2004-10-04 23:19:55";9
63;"131.243.61.70";"131.243.61.70";51594;427;"Autre";"{}";"2004-10-04 23:19:58";9
64;"131.243.61.70";"131.243.61.70";51594;427;"Autre";"{}";"2004-10-04 23:20:01";9
65;"131.243.61.70";"131.243.61.70";51594;427;"Autre";"{}";"2004-10-04 23:20:04";9
66;"128.3.161.46";"128.3.161.46";2145;161;"Autre";"{}";"2004-10-04 23:21:33";10
67;"131.243.155.113";"131.243.155.113";138;138;"Autre";"{}";"2004-10-04 23:25:22";11
68;"131.243.155.113";"131.243.155.113";138;138;"Autre";"{}";"2004-10-04 23:27:37";11
69;"131.243.234.187";"131.243.234.187";56972;427;"Autre";"{}";"2004-10-04 23:25:20";12
70;"131.243.234.187";"131.243.234.187";56972;427;"Autre";"{}";"2004-10-04 23:25:27";12
71;"131.243.234.187";"131.243.234.187";56972;427;"Autre";"{}";"2004-10-04 23:25:27";12
72;"128.3.209.107";"128.3.209.107";51068;427;"Autre";"{}";"2004-10-04 23:22:24";13
73;"128.3.209.107";"128.3.209.107";51068;427;"Autre";"{}";"2004-10-04 23:22:27";13
74;"128.3.209.107";"128.3.209.107";51068;427;"Autre";"{}";"2004-10-04 23:22:30";13
75;"128.3.96.230";"128.3.96.230";3542;161;"Autre";"{}";"2004-10-04 23:25:38";14
76;"131.243.155.152";"131.243.155.152";161;2732;"Autre";"{}";"2004-10-04 23:21:04";15
77;"131.243.94.195";"131.243.94.195";64302;427;"Autre";"{}";"2004-10-04 23:24:14";16
78;"131.243.94.195";"131.243.94.195";64302;427;"Autre";"{}";"2004-10-04 23:24:17";16
79;"131.243.94.195";"131.243.94.195";64302;427;"Autre";"{}";"2004-10-04 23:24:20";16
80;"131.243.94.195";"131.243.94.195";64302;427;"Autre";"{}";"2004-10-04 23:24:23";16
81;"131.243.103.13";"131.243.103.13";54147;427;"Autre";"{}";"2004-10-04 23:20:33";17
82;"131.243.103.13";"131.243.103.13";54147;427;"Autre";"{}";"2004-10-04 23:20:36";17
83;"131.243.103.13";"131.243.103.13";54147;427;"Autre";"{}";"2004-10-04 23:20:39";17
84;"131.243.103.13";"131.243.103.13";54147;427;"Autre";"{}";"2004-10-04 23:20:42";17
