"id";"name";"value";"comment"
1;"ARP";21;""
2;"ICMP";157;""
3;"HTTP";1156;""
4;"POP3S";16;""
5;"SMTP";83;""
6;"SMB";50;""
7;"Autre";28959;""
8;"IMAP";18;""
9;"HTTPS";326;""
10;"LDAP";2;""
11;"total";31045;""
12;"IMAPS";257;""
