"id";"address";"exchanged"
1;"131.243.160.216";"{""Volume"": 16794, ""Protocole"": {""Autre"": {""Nombrein"": 162, ""Volumeout"": 8046, ""Nombreout"": 149, ""Volumein"": 8748}}, ""id"": null}"
2;"207.235.151.13";"{""Volume"": 6080, ""Protocole"": {""HTTP"": {""Nombrein"": 53, ""Volumeout"": 3118, ""Nombreout"": 57, ""Volumein"": 2962}}, ""id"": null}"
3;"128.3.255.114";"{""Volume"": 4992, ""Protocole"": {""Autre"": {""Nombrein"": 24, ""Volumeout"": 1358, ""Nombreout"": 25, ""Volumein"": 1300}, ""ICMP"": {""Nombrein"": 4, ""Volumeout"": 168, ""Nombreout"": 4, ""Volumein"": 168}, ""IMAPS"": {""Nombrein"": 19, ""Volumeout"": 972, ""Nombreout"": 18, ""Volumein"": 1026}}}"
4;"196.176.15.233";"{""Volume"": 556, ""Protocole"": {""HTTP"": {""Nombrein"": 5, ""Volumeout"": 278, ""Nombreout"": 5, ""Volumein"": 278}}, ""id"": null}"
5;"128.3.255.112";"{""Volume"": 2430, ""Protocole"": {""Autre"": {""Nombrein"": 15, ""Volumeout"": 1620, ""Nombreout"": 30, ""Volumein"": 810}}}"
6;"128.3.183.115";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
7;"128.3.36.179";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
8;"131.243.127.24";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
9;"128.3.191.17";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
10;"131.243.143.1";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
11;"131.243.127.133";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
12;"131.243.143.6";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
13;"128.3.71.175";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
14;"131.243.143.163";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
15;"131.243.143.24";"{""Volume"": 672, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 672, ""Nombreout"": 16, ""Volumein"": 0}}}"
16;"128.3.190.173";"{""Volume"": 84, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 84, ""Nombreout"": 2, ""Volumein"": 0}}}"
17;"208.158.215.148";"{""Volume"": 1310, ""Protocole"": {""HTTP"": {""Nombrein"": 12, ""Volumeout"": 610, ""Nombreout"": 11, ""Volumein"": 700}}, ""id"": null}"
18;"118.176.235.30";"{""Volume"": 10140, ""Protocole"": {""HTTP"": {""Nombrein"": 71, ""Volumeout"": 6258, ""Nombreout"": 115, ""Volumein"": 3882}}, ""id"": null}"
19;"128.3.96.230";"{""Volume"": 3696, ""Protocole"": {""Autre"": {""Nombrein"": 14, ""Volumeout"": 588, ""Nombreout"": 14, ""Volumein"": 588}, ""ICMP"": {""Nombrein"": 30, ""Volumeout"": 1260, ""Nombreout"": 30, ""Volumein"": 1260}}}"
20;"131.243.140.86";"{""Volume"": 553220, ""Protocole"": {""Autre"": {""Nombrein"": 3618, ""Volumeout"": 357856, ""Nombreout"": 6628, ""Volumein"": 195364}}, ""id"": null}"
21;"131.243.140.244";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
22;"128.3.183.145";"{""Volume"": 168, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 168, ""Nombreout"": 4, ""Volumein"": 0}}}"
23;"221.58.33.174";"{""Volume"": 1112, ""Protocole"": {""HTTP"": {""Nombrein"": 10, ""Volumeout"": 556, ""Nombreout"": 10, ""Volumein"": 556}}, ""id"": null}"
24;"128.3.63.177";"{""Volume"": 210, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 210, ""Nombreout"": 5, ""Volumein"": 0}}}"
25;"131.243.160.69";"{""Volume"": 17904, ""Protocole"": {""HTTPS"": {""Nombrein"": 145, ""Volumeout"": 9978, ""Nombreout"": 183, ""Volumein"": 7926}}, ""id"": null}"
26;"131.243.170.163";"{""Volume"": 168, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 168, ""Nombreout"": 4, ""Volumein"": 0}}}"
27;"131.243.147.44";"{""Volume"": 84, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 84, ""Nombreout"": 2, ""Volumein"": 0}}}"
28;"131.243.63.112";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
29;"208.102.234.17";"{""Volume"": 216, ""Protocole"": {""Autre"": {""Nombrein"": 2, ""Volumeout"": 108, ""Nombreout"": 2, ""Volumein"": 108}}}"
30;"131.243.91.154";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
31;"128.3.164.194";"{""Volume"": 50846, ""Protocole"": {""IMAP"": {""Nombrein"": 31, ""Volumeout"": 1690, ""Nombreout"": 31, ""Volumein"": 1690}, ""IMAPS"": {""Nombrein"": 365, ""Volumeout"": 27756, ""Nombreout"": 514, ""Volumein"": 19710}}, ""id"": null}"
32;"128.3.255.84";"{""Volume"": 364294, ""Protocole"": {""Autre"": {""Nombrein"": 3495, ""Volumeout"": 175146, ""Nombreout"": 3243, ""Volumein"": 188770}, ""IMAPS"": {""Nombrein"": 3, ""Volumeout"": 216, ""Nombreout"": 4, ""Volumein"": 162}}}"
33;"128.3.255.189";"{""Volume"": 378238, ""Protocole"": {""Autre"": {""Nombrein"": 3994, ""Volumeout"": 175128, ""Nombreout"": 3484, ""Volumein"": 202732}, ""IMAPS"": {""Nombrein"": 3, ""Volumeout"": 216, ""Nombreout"": 4, ""Volumein"": 162}}}"
34;"128.3.255.186";"{""Volume"": 279464, ""Protocole"": {""Autre"": {""Nombrein"": 3253, ""Volumeout"": 98446, ""Nombreout"": 1823, ""Volumein"": 175654}, ""ICMP"": {""Nombrein"": 8, ""Volumeout"": 476, ""Nombreout"": 10, ""Volumein"": 336}, ""IMAPS"": {""Nombrein"": 32, ""Volumeout"": 1458, ""Nombreout"": 27, ""Volumein"": 1728}, ""SMB"": {""Nombrein"": 11, ""Volumeout"": 764, ""Nombreout"": 14, ""Volumein"": 602}}}"
35;"128.3.255.187";"{""Volume"": 32016, ""Protocole"": {""Autre"": {""Nombrein"": 364, ""Volumeout"": 10260, ""Nombreout"": 190, ""Volumein"": 19656}, ""ICMP"": {""Nombrein"": 8, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 336}, ""HTTP"": {""Nombrein"": 8, ""Volumeout"": 610, ""Nombreout"": 11, ""Volumein"": 440}, ""IMAPS"": {""Nombrein"": 3, ""Volumeout"": 216, ""Nombreout"": 4, ""Volumein"": 162}}, ""id"": null}"
36;"128.3.255.88";"{""Volume"": 5530, ""Protocole"": {""Autre"": {""Nombrein"": 23, ""Volumeout"": 872, ""Nombreout"": 16, ""Volumein"": 1250}, ""HTTP"": {""Nombrein"": 22, ""Volumeout"": 1822, ""Nombreout"": 33, ""Volumein"": 1208}, ""IMAP"": {""Nombrein"": 3, ""Volumeout"": 216, ""Nombreout"": 4, ""Volumein"": 162}}}"
37;"128.3.255.181";"{""Volume"": 139456, ""Protocole"": {""Autre"": {""Nombrein"": 1348, ""Volumeout"": 66274, ""Nombreout"": 1227, ""Volumein"": 72804}, ""IMAPS"": {""Nombrein"": 3, ""Volumeout"": 216, ""Nombreout"": 4, ""Volumein"": 162}}}"
38;"59.69.252.250";"{""Volume"": 1794, ""Protocole"": {""HTTP"": {""Nombrein"": 18, ""Volumeout"": 726, ""Nombreout"": 13, ""Volumein"": 1068}}, ""id"": null}"
39;"131.243.142.231";"{""Volume"": 378, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 378, ""Nombreout"": 9, ""Volumein"": 0}}}"
40;"128.3.191.81";"{""Volume"": 336, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 336, ""Nombreout"": 8, ""Volumein"": 0}}}"
41;"198.129.91.180";"{""Volume"": 252, ""Protocole"": {""Autre"": {""Nombrein"": 2, ""Volumeout"": 168, ""Nombreout"": 4, ""Volumein"": 84}}}"
136;"131.243.91.100";"{""Volume"": 168, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 168, ""Nombreout"": 4, ""Volumein"": 0}}}"
42;"128.3.70.205";"{""Volume"": 840, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 420, ""Nombreout"": 10, ""Volumein"": 420}}, ""id"": null}"
43;"229.55.150.208";"{""Volume"": 1220, ""Protocole"": {""Autre"": {""Nombrein"": 30, ""Volumeout"": 0, ""Nombreout"": 0, ""Volumein"": 1220}}, ""id"": null}"
44;"131.243.140.17";"{""Volume"": 672, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 672, ""Nombreout"": 16, ""Volumein"": 0}}}"
45;"204.52.84.170";"{""Volume"": 444, ""Protocole"": {""HTTP"": {""Nombrein"": 5, ""Volumeout"": 166, ""Nombreout"": 3, ""Volumein"": 278}}, ""id"": null}"
46;"204.52.84.176";"{""Volume"": 556, ""Protocole"": {""HTTP"": {""Nombrein"": 5, ""Volumeout"": 278, ""Nombreout"": 5, ""Volumein"": 278}}, ""id"": null}"
47;"204.52.84.174";"{""Volume"": 3310, ""Protocole"": {""HTTP"": {""Nombrein"": 21, ""Volumeout"": 2168, ""Nombreout"": 40, ""Volumein"": 1142}}, ""id"": null}"
48;"131.243.234.144";"{""Volume"": 126, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 126, ""Nombreout"": 3, ""Volumein"": 0}}}"
