"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1218;"128.3.161.46";"128.3.255.189";3396;3876;"TCP"
1219;"128.3.210.36";"239.255.255.253";51099;427;"UDP"
1220;"128.3.255.139";"59.69.192.211";1044;80;"TCP"
1221;"131.243.141.187";"128.3.255.47";524;3015;"TCP"
1222;"128.3.255.147";"131.243.126.41";427;49793;"UDP"
1223;"131.243.94.195";"239.255.255.253";64339;427;"UDP"
1224;"131.243.93.106";"239.255.255.253";63617;427;"UDP"
1225;"128.3.112.56";"239.255.255.253";60247;427;"UDP"
1226;"128.3.255.189";"128.3.161.46";3906;3396;"TCP"
1227;"128.3.161.177";"128.3.255.90";1550;161;"UDP"
1228;"128.3.255.21";"128.3.164.191";4474;5730;"TCP"
1229;"128.3.161.177";"128.3.255.47";3396;3725;"TCP"
1230;"131.243.140.86";"128.3.255.172";524;1078;"TCP"
1231;"118.141.186.207";"128.3.255.34";80;3441;"TCP"
1232;"128.3.255.31";"128.3.161.252";515;779;"TCP"
1233;"128.3.255.42";"204.52.73.32";3408;80;"TCP"
1234;"131.243.140.86";"128.3.255.84";524;3051;"TCP"
1235;"131.243.142.214";"128.3.255.134";524;1049;"TCP"
1236;"128.3.188.95";"128.3.255.60";25013;25011;"UDP"
1237;"58.247.202.26";"128.3.255.49";80;3837;"TCP"
1238;"128.3.210.223";"128.3.255.202";138;138;"UDP"
1239;"128.3.161.165";"128.3.255.108";524;1033;"TCP"
1240;"128.3.255.24";"128.3.161.182";1246;139;"TCP"
1241;"128.3.255.189";"128.3.161.5";3992;3396;"TCP"
1242;"128.3.255.90";"128.3.161.177";161;1753;"UDP"
1243;"128.3.255.90";"128.3.161.177";161;1752;"UDP"
1244;"131.243.127.89";"239.255.255.253";64557;427;"UDP"
1245;"128.3.161.165";"128.3.255.157";524;1032;"TCP"
1246;"128.3.161.165";"128.3.255.149";524;1029;"TCP"
1247;"128.3.161.165";"128.3.255.149";524;1028;"TCP"
1248;"128.3.161.32";"128.3.255.98";524;1079;"TCP"
1249;"128.3.161.177";"128.3.255.189";3396;3834;"TCP"
1250;"128.3.161.177";"128.3.255.189";3396;3835;"TCP"
1251;"128.3.161.177";"128.3.255.189";3396;3830;"TCP"
1252;"128.3.255.34";"131.243.160.69";3455;443;"TCP"
1253;"128.3.161.177";"128.3.255.189";3396;3839;"TCP"
1254;"131.243.219.216";"128.3.255.18";137;137;"UDP"
1255;"128.3.255.31";"128.3.161.22";515;846;"TCP"
1256;"128.3.255.49";"59.69.237.47";3698;80;"TCP"
1257;"128.3.161.22";"128.3.255.241";874;515;"TCP"
1258;"128.3.255.49";"58.247.202.26";3601;80;"TCP"
1259;"128.3.255.189";"128.3.161.5";3888;3396;"TCP"
1260;"58.247.198.250";"128.3.255.49";80;3587;"TCP"
1261;"128.3.242.56";"239.255.255.253";63373;427;"UDP"
1262;"128.3.161.223";"128.3.255.24";138;138;"UDP"
